level,gid,name,engtype,iso,country,year,threshold,gcp_model,pop_persons,gdp_scale,pop_scale,gdp_pwt,pop_pwt,gdppc,ln_gdppc,n_cells,n_cells_nearest,pop_nat
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2012,0_05,2.596532255718888,473106,873.4364466698432,1.0160837138483367e-06,2267.9059070987387,0.4807153015239312,4717.773492770412,8.45909224965245,77,1,10350000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2013,0_05,2.3316423109996824,403318,908.187147797003,1.0164440090829641e-06,2117.5675801096145,0.40995016485532293,5165.426829031605,8.549743016867636,77,1,10510000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2014,0_05,2.4575827194686823,409662,904.0530959767646,1.0168561415361386e-06,2221.7852661546585,0.4165673206539776,5333.556320900622,8.581773521848655,77,1,10670000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2015,0_05,2.5506503352065084,413129,880.8640786042763,1.0171389032483382e-06,2246.7762573633695,0.4202095779600827,5346.799252578672,8.584253390308776,77,1,10830000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2016,0_05,2.6512303545880886,419005,892.9528401744103,1.0173684873859727e-06,2367.4236750860423,0.4262824830571595,5553.649913333639,8.62221063263081,77,1,10990000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2017,0_05,2.7738583931112526,426234,927.7396236484974,1.0175294096437315e-06,2573.4183416792594,0.43370563039008625,5933.5599110499425,8.68837963413856,77,1,11150000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2018,0_05,2.876712497743715,431080,937.2822479969341,1.0176126781218413e-06,2696.2915567261043,0.43867247328476333,6146.479938748772,8.723634829252525,77,1,11310000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2019,0_05,2.8218213049940237,414513,959.2319688877213,1.0176311783999035e-06,2706.781206238737,0.4218213526520792,6416.889968278364,8.76668885069348,77,1,11470000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2020,0_05,2.5840830487477717,419574,959.2201052405262,1.0160908219120596e-06,2478.7044139700974,0.4263252905129305,5814.115346025708,8.66804392027973,77,1,11630000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2021,0_05,2.732881151459019,425573,981.3925097914595,1.0117195577960315e-06,2682.0290921921405,0.4305605273699305,6229.1569284700945,8.736996278141184,77,1,11800000
adm1,BOL.1_1,Chuquisaca,Department,BOL,Bolivia,2022,0_05,2.6716032485506243,397603,977.0086582089775,1.0098637098559836e-06,2610.179505133191,0.40152484062986865,6500.667557799474,8.77966015181024,77,1,11960000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2012,0_05,17.03848029021483,1781296,873.4364466698432,1.0160837138483367e-06,14882.029681339402,1.8099458551431868,8222.361812122865,9.014612771856056,76,0,10350000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2013,0_05,18.308179176748087,1811855,908.187147797003,1.0164440090829641e-06,16627.25302788733,1.841649160077014,9028.458507912557,9.10813692396642,76,0,10510000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2014,0_05,19.397801597439283,1838574,904.0530959767646,1.0168561415361386e-06,17536.642589308012,1.8695652635686646,9380.064409109586,9.146341908619508,76,0,10670000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2015,0_05,20.104186689830097,1868771,880.8640786042763,1.0171389032483382e-06,17709.055884625544,1.9007996853623002,9316.63447810921,9.139556734965613,76,0,10830000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2016,0_05,20.774188430213123,1896503,892.9528401744103,1.0173684873859727e-06,18550.370561077183,1.9294423884329595,9614.368727611136,9.171014000912859,76,0,10990000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2017,0_05,21.64967204052444,1924330,927.7396236484974,1.0175294096437315e-06,20085.25859098954,1.958062368859722,10257.721567207378,9.23578602459072,76,0,11150000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2018,0_05,22.777136276420787,1952064,937.2822479969341,1.0176126781218413e-06,21348.60549209619,1.986445074905234,10747.141092292548,9.282395053283173,76,0,11310000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2019,0_05,23.331237849744483,1968152,959.2319688877213,1.0176311783999035e-06,22380.069219198125,2.002852839030127,11174.095661484334,9.321353491060338,76,0,11470000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2020,0_05,21.26038607997912,1992925,959.2201052405262,1.0160908219120596e-06,20393.38977309179,2.0249928012590916,10070.845565678886,9.21739995097381,76,0,11630000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2021,0_05,22.635422513957714,2022409,981.3925097914595,1.0117195577960315e-06,22214.23411116307,2.0461107391627142,10856.809304589899,9.29254774779556,76,0,11800000
adm1,BOL.2_1,Cochabamba,Department,BOL,Bolivia,2022,0_05,23.395674066243185,2081937,977.0086582089775,1.0098637098559836e-06,22857.776127354828,2.1024726225064367,10871.85435028648,9.293932558968475,76,0,11960000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2012,0_05,2.9734467298405467,468272,873.4364466698432,1.0160837138483367e-06,2597.1167460739925,0.47580355285118836,5458.3803137053565,8.60490737888936,280,4,10350000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2013,0_05,3.1047160337185606,461460,908.187147797003,1.0164440090829641e-06,2819.663199382483,0.4690482524314246,6011.456571399807,8.701422356135323,280,4,10510000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2014,0_05,3.261606665816059,467352,904.0530959767646,1.0168561415361386e-06,2948.665604089461,0.47522975145919744,6204.7159190592665,8.733064914005523,280,4,10670000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2015,0_05,3.3684789490824687,474154,880.8640786042763,1.0171389032483382e-06,2967.1721057814298,0.48228047953081254,6152.378608953961,8.724594051709566,280,4,10830000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2016,0_05,3.492569718082954,480403,892.9528401744103,1.0173684873859727e-06,3118.7000492693137,0.48874687344568346,6381.012787421766,8.761082107850317,280,4,10990000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2017,0_05,3.6331782083791127,487132,927.7396236484974,1.0175294096437315e-06,3370.6433836895603,0.49567113637857024,6800.160703961632,8.82470152382048,280,4,11150000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2018,0_05,3.790991881290389,494640,937.2822479969341,1.0176126781218413e-06,3553.229392633982,0.5033519351061876,7059.135258682158,8.86207783837951,280,4,11310000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2019,0_05,3.8555622470669464,496526,959.2319688877213,1.0176311783999035e-06,3698.3785654231942,0.5052803384861905,7319.458691987621,8.898291655038962,280,4,11470000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2020,0_05,3.5157888100499814,502770,959.2201052405262,1.0160908219120596e-06,3372.4153123796077,0.5108599825327262,6601.447417470338,8.795044209647866,280,4,11630000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2021,0_05,3.6990471499988375,506756,981.3925097914595,1.0117195577960315e-06,3630.2171663743043,0.5126949562304858,7080.657069585669,8.865121988820167,280,4,11800000
adm1,BOL.3_1,Beni,Department,BOL,Bolivia,2022,0_05,4.139448696385426,528404,977.0086582089775,1.0098637098559836e-06,4044.277216580426,0.5336160237427411,7579.002572325661,8.933136883213695,280,4,11960000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2012,0_05,29.20835462112006,2922850,873.4364466698432,1.0160837138483367e-06,25511.641473343796,2.969860283021611,8590.182379686767,9.058375246381175,204,28,10350000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2013,0_05,30.69917267002243,2825084,908.187147797003,1.0164440090829641e-06,27880.594066915375,2.8715397069561366,9709.283837996833,9.180837803467167,204,28,10510000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2014,0_05,32.28768307585644,2867475,904.0530959767646,1.0168561415361386e-06,29189.7798466446,2.915809564451339,10010.86634824081,9.211426416839986,204,28,10670000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2015,0_05,34.22448480422654,2910343,880.8640786042763,1.0171389032483382e-06,30147.119272781067,2.960223087096478,10184.070046677036,9.22858001832406,204,28,10830000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2016,0_05,35.67392317061782,2951644,892.9528401744103,1.0173684873859727e-06,31855.131015366886,3.002909591581882,10608.088603355569,9.269372064894116,204,28,10990000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2017,0_05,37.14156118341768,2994939,927.7396236484974,1.0175294096437315e-06,34457.69799402155,3.047438512588988,11307.101965036074,9.333186299762815,204,28,11150000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2018,0_05,38.67685142806493,3039583,937.2822479969341,1.0176126781218413e-06,36251.12625194012,3.0931181970036206,11719.929192184598,9.369046021490279,204,28,11310000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2019,0_05,38.21753782714219,2896740,959.2319688877213,1.0176311783999035e-06,36659.48405597057,2.9478129397181365,12436.163625591476,9.42836392850536,204,28,11470000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2020,0_05,34.74023954331354,2940502,959.2201052405262,1.0160908219120596e-06,33323.5362308183,2.987817094014055,11153.137953986667,9.319476168144854,204,28,11630000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2021,0_05,36.95918479063725,2987209,981.3925097914595,1.0117195577960315e-06,36271.46712152983,3.0222177685243254,12001.606071967572,9.392795759145084,204,28,11800000
adm1,BOL.4_1,La Paz,Department,BOL,Bolivia,2022,0_05,38.35904896892525,3042124,977.0086582089775,1.0098637098559836e-06,37477.12296330212,3.0721306284819243,12199.065565718221,9.40911463481404,204,28,11960000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2012,0_05,3.694770752688862,588017,873.4364466698432,1.0160837138483367e-06,3227.147437488222,0.5974744971659574,5401.3141193402835,8.59439755837962,78,7,10350000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2013,0_05,3.999478077673686,606391,908.187147797003,1.0164440090829641e-06,3632.2745880391058,0.6163624991118277,5893.0817388682435,8.681534355243711,78,7,10510000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2014,0_05,4.238603461423147,616138,904.0530959767646,1.0168561415361386e-06,3831.9225819174267,0.6265237093337933,6116.1653179766445,8.718690597091854,78,7,10670000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2015,0_05,4.458898512778782,625344,880.8640786042763,1.0171389032483382e-06,3927.683530048859,0.6360617103129288,6175.003881488988,8.728264790077192,78,7,10830000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2016,0_05,4.6345117508760065,634478,892.9528401744103,1.0173684873859727e-06,4138.400430766409,0.6454979231396772,6411.175439012084,8.765797908924343,78,7,10990000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2017,0_05,4.830572639019681,643525,927.7396236484974,1.0175294096437315e-06,4481.513642130848,0.6548056133409824,6844.036689400144,8.831132995810126,78,7,11150000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2018,0_05,5.02468231633859,652996,937.2822479969341,1.0176126781218413e-06,4709.545536928276,0.6644970083628499,7087.384108066021,8.866071596306696,78,7,11310000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2019,0_05,5.07439180016198,634327,959.2319688877213,1.0176311783999035e-06,4867.518837377085,0.6455109325008757,7540.567622176534,8.928052739624269,78,7,11470000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2020,0_05,4.5337107124635345,643180,959.2201052405262,1.0160908219120596e-06,4348.826466739372,0.6535292948373985,6654.371121682285,8.803029229246466,78,7,11630000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2021,0_05,4.784149342761054,652545,981.3925097914595,1.0117195577960315e-06,4695.128330709433,0.6601925388420113,7111.7561233648075,8.869504485740329,78,7,11800000
adm1,BOL.5_1,Oruro,Department,BOL,Bolivia,2022,0_05,4.7091959571891255,639417,977.0086582089775,1.0098637098559836e-06,4600.925223376488,0.6457240237649834,7125.219217569383,8.871395772041705,78,7,11960000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2012,0_05,0.5106555039987593,82929,873.4364466698432,1.0160837138483367e-06,446.02512888507425,0.08426280630572872,5293.262216627013,8.574190010896734,102,18,10350000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2013,0_05,0.7958674693042378,125129,908.187147797003,1.0164440090829641e-06,722.7966069718346,0.12718662241254222,5682.960937726401,8.64522766774304,102,18,10510000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2014,0_05,0.8387114142018911,126876,904.0530959767646,1.0168561415361386e-06,758.2396506402702,0.1290146398135391,5877.159768349782,8.678828891601274,102,18,10670000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2015,0_05,0.8933249536388251,130415,880.8640786042763,1.0171389032483382e-06,786.8978621812715,0.13265017006713203,5932.128558772564,8.688138375101977,102,18,10830000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2016,0_05,0.9266615980602082,132233,892.9528401744103,1.0173684873859727e-06,827.4651058684208,0.13452968719250932,6150.799300412663,8.724337319902288,102,18,10990000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2017,0_05,0.9631308659717421,134047,927.7396236484974,1.0175294096437315e-06,893.5346671208755,0.1363967647745133,6550.996048902171,8.787372385602733,102,18,11150000
adm1,BOL.6_1,Pando,Department,BOL,Bolivia,2018,0_05,1.001959668994483,135280,937.2822479969341,1.0176126781218413e-06,939.1190109574129,0.1376626430963227,6821.887113559997,8.827891415430365,102,18,11310000
