level,gid,name,engtype,gid1,name1,iso,country,year,threshold,gcp_model,pop_persons,gdp_scale,pop_scale,gdp_pwt,pop_pwt,gdppc,ln_gdppc,n_cells,n_cells_nearest,pop_nat
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2012,0_05,0.13461143375808682,25950,873.4364466698432,1.0160837138483367e-06,117.57453238279632,0.026367372374364338,4459.091740863344,8.402700378729204,5,0,10350000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2013,0_05,0.13768251360474001,24873,908.187147797003,1.0164440090829641e-06,125.04148933221089,0.025282011837920566,4945.867842078168,8.506307727562254,5,0,10510000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2014,0_05,0.1453161570515948,25215,904.0530959767646,1.0168561415361386e-06,131.37352167794003,0.025640027608833736,5123.766779123047,8.54164514658714,5,0,10670000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2015,0_05,0.1477801876677922,25198,880.8640786042763,1.0171389032483382e-06,130.1742588459568,0.025629866084051624,5079.006594067174,8.532870969100692,5,0,10830000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2016,0_05,0.154114473020512,25608,892.9528401744103,1.0173684873859727e-06,137.61695639564874,0.02605277222497999,5282.238496819101,8.572105244586512,5,0,10990000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2017,0_05,0.1600975226601683,26016,927.7396236484974,1.0175294096437315e-06,148.52881541980133,0.02647204512129132,5610.779776902859,8.632444986522856,5,0,11150000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2018,0_05,0.1647090224459338,26288,937.2822479969341,1.0176126781218413e-06,154.3788428235023,0.026751002082466963,5770.955508417559,8.660592945171208,5,0,11310000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2019,0_05,0.1554945621457226,24653,959.2319688877213,1.0176311783999035e-06,149.15535499837563,0.025087661441092823,5945.36702229502,8.69036754351785,5,0,11470000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2020,0_05,0.14236970311737052,24962,959.2201052405262,1.0160908219120596e-06,136.5638816073066,0.025363659096568833,5384.234234002175,8.591230375950692,5,0,11630000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2021,0_05,0.15181316683310392,25391,981.3925097914595,1.0117195577960315e-06,148.9883048177294,0.025688571291999036,5799.789452056187,8.665576894505977,5,0,11800000
adm2,BOL.1.10_2,Zudáñez,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2022,0_05,0.1255562519386685,19748,977.0086582089775,1.0098637098559836e-06,122.66954523634686,0.019942788542235964,6151.072854057013,8.724381793400461,5,0,11960000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2012,0_05,0.1768971351383466,34661,873.4364466698432,1.0160837138483367e-06,154.5084051413125,0.0352184776056972,4387.1403775930985,8.386432899193842,3,0,10350000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2013,0_05,0.1452073363359162,26603,908.187147797003,1.0164440090829641e-06,131.87543662611586,0.027040459973634093,4876.9672096814,8.492278832226592,3,0,10510000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2014,0_05,0.1530574433614986,27019,904.0530959767646,1.0168561415361386e-06,138.3720555332511,0.027474436088164928,5036.392925016473,8.52444541535658,3,0,10670000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2015,0_05,0.1582115493247792,27157,880.8640786042763,1.0171389032483382e-06,139.36287062052665,0.02762244119551512,5045.277122108748,8.526207861330397,3,0,10830000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2016,0_05,0.1648236305667011,27542,892.9528401744103,1.0173684873859727e-06,147.1797290423935,0.02802036287958446,5252.598964363453,8.566478273924515,3,0,10990000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2017,0_05,0.1725888744927236,27971,927.7396236484974,1.0175294096437315e-06,160.11753746779715,0.028461315117144816,5625.795463377724,8.635117632785958,3,0,11150000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2018,0_05,0.179709248528779,28382,937.2822479969341,1.0176126781218413e-06,168.4382884468937,0.0288818830304541,5831.970452525075,8.6711102072362,3,0,11310000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2019,0_05,0.1702483102002424,26909,959.2319688877213,1.0176311783999035e-06,163.30762179318603,0.027383437379563006,5963.737113408081,8.693452596007706,3,0,11470000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2020,0_05,0.1562834381468381,27264,959.2201052405262,1.0160908219120596e-06,149.9102159865613,0.027702700168610393,5411.393657446533,8.596261946326468,3,0,11630000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2021,0_05,0.16630918445195653,27659,981.3925097914595,1.0117195577960315e-06,163.21458793067637,0.027983151249080435,5832.602142549611,8.67121851639541,3,0,11800000
adm2,BOL.1.1_2,Azurduy,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2022,0_05,0.1538827476912081,25176,977.0086582089775,1.0098637098559836e-06,150.34477684329786,0.025424328759334244,5913.421678363899,8.684979907055208,3,0,11960000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2012,0_05,0.030381165085094,5349,873.4364466698432,1.0160837138483367e-06,26.536016877614408,0.005435031785374753,4882.403254571714,8.493392847822664,2,0,10350000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2013,0_05,0.0274618196145533,4388,908.187147797003,1.0164440090829641e-06,24.940471629056955,0.004460156311856046,5591.8380175959,8.629063316683638,2,0,10510000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2014,0_05,0.028901568648561797,4434,904.0530959767646,1.0168561415361386e-06,26.12855261531729,0.004508740131571239,5795.0895045733805,8.664766200792348,2,0,10670000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2015,0_05,0.0296642630577253,4444,880.8640786042763,1.0171389032483382e-06,26.130183745818066,0.004520165286035615,5780.802712357316,8.662297829594296,2,0,10830000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2016,0_05,0.030904080812856304,4525,892.9528401744103,1.0173684873859727e-06,27.59588673481953,0.004603592405421526,5994.424420007427,8.698585052845257,2,0,10990000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2017,0_05,0.032207113299898005,4553,927.7396236484974,1.0175294096437315e-06,29.879815171651884,0.00463281140210791,6449.607501409769,8.77177455544362,2,0,11150000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2018,0_05,0.0332913314635219,4581,937.2822479969341,1.0176126781218413e-06,31.203373992940868,0.004661683678476155,6693.5845812560265,8.808904821473302,2,0,11310000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2019,0_05,0.0316635608742205,4294,959.2319688877213,1.0176311783999035e-06,30.37269983937475,0.004369708280049185,6950.738560294208,8.846603200581061,2,0,11470000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2020,0_05,0.0292817411933941,4381,959.2201052405262,1.0160908219120596e-06,28.087634869153337,0.004451493890796733,6309.709854308298,8.749844972593479,2,0,11630000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2021,0_05,0.031568563255667,4546,981.3925097914595,1.0117195577960315e-06,30.981151523989485,0.004599277109740759,6736.091517159261,8.815235142106483,2,0,11800000
adm2,BOL.1.2_2,Belisario Boeto,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2022,0_05,0.02791716968523,3713,977.0086582089775,1.0098637098559836e-06,27.275316495158904,0.003749623954695267,7274.147174413274,8.892081858283312,2,0,11960000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2012,0_05,0.2141918029755679,40628,873.4364466698432,1.0160837138483367e-06,187.08292729678718,0.041281449126230225,4531.888566332201,8.41889403365765,9,0,10350000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2013,0_05,0.1732158836354999,30449,908.187147797003,1.0164440090829641e-06,157.31243931206222,0.030949703632567174,5082.841541220073,8.533625742697758,9,0,10510000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2014,0_05,0.183980403846835,30932,904.0530959767646,1.0168561415361386e-06,166.3280536967866,0.03145339416999584,5288.079652003058,8.573210444202319,9,0,10670000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2015,0_05,0.1954723050457916,31941,880.8640786042763,1.0171389032483382e-06,172.18453187681524,0.032488433708655166,5299.871745769756,8.575437900336048,9,0,10830000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2016,0_05,0.2015948721389668,32377,892.9528401744103,1.0173684873859727e-06,180.0147136410875,0.032939339516095636,5465.0371344915475,8.606126195553985,9,0,10990000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2017,0_05,0.209721864503929,32718,927.7396236484974,1.0175294096437315e-06,194.56728364573627,0.03329152722472361,5844.3483932825675,8.673230386645086,9,0,11150000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2018,0_05,0.21914112873816938,33166,937.2822479969341,1.0176126781218413e-06,205.39708977229694,0.03375014208258899,6085.81407656524,8.713715780625378,9,0,11310000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2019,0_05,0.2155592447376043,31955,959.2319688877213,1.0176311783999035e-06,206.77131874160236,0.03251840430576892,6358.59363815463,8.757562505805875,9,0,11470000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2020,0_05,0.1964884164905494,32461,959.2201052405262,1.0160908219120596e-06,188.47563954460915,0.03298332417008737,5714.270598460116,8.650721938767783,9,0,11630000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2021,0_05,0.2073312735947355,32932,981.3925097914595,1.0117195577960315e-06,203.47335895139724,0.03331794847733891,6107.019436979709,8.717194115955865,9,0,11800000
adm2,BOL.1.3_2,Hernando Siles,Province,BOL.1_1,Chuquisaca,BOL,Bolivia,2022,0_05,0.1965731235185513,30124,977.0086582089775,1.0098637098559836e-06,192.0536436488074,0.03042113439570165,6313.165089463054,8.750392428740584,9,0,11960000
