var_name,var_def,label,type,role,can_be_na
cell_id,Source grid-cell identifier (1-degree parent; not unique alone). Part of the compound cell entity key.,Cell id (1-deg parent),entity,,False
subcell_id,Source subcell identifier. Part of the compound cell entity key.,Subcell id,entity,,False
subcell_id_0_25,Source 0.25-degree subcell identifier. Part of the compound cell entity key.,0.25-deg subcell id,entity,,False
iso,ISO3 country code (GADM GID_0); HKG/MAC/XKX restored to the cell-data codes. For region panels it is the parent country and part of the compound entity key.,Country (ISO3),factor,,False
year,Calendar year of the estimate (2012-2022).,Year,time,,False
longitude,"Cell centroid longitude (degrees, EPSG:4326).",Longitude,numeric,,False
latitude,"Cell centroid latitude (degrees, EPSG:4326).",Latitude,numeric,,False
predicted_GCP_const_2021_PPP,"Predicted cell GDP total (Gross Cell Product), const 2021 PPP.","Cell GDP (const 2021 PPP, model scale)",numeric,,False
pop_cell,Population of the cell (persons).,Cell population,numeric,,False
cell_GDPC_const_2021_PPP,"Cell GDP per capita, const 2021 PPP (= GCP / pop_cell).","Cell GDP per capita (const 2021 PPP, model scale)",numeric,,False
is_cell_censored,"1 if the cell GDP was zeroed by the low-pop-density adjustment, else 0.",Cell censored flag,logical,,False
gdp_scale,Per-year national GDP raking factor = PWT rgdpo / sum(model GCP).,GDP raking factor,numeric,,False
pop_scale,Per-year national population raking factor = PWT pop / sum(pop_cell).,Population raking factor,numeric,,False
gdp_pwt,GDP rescaled to PWT; national sum per year equals PWT rgdpo exactly.,GDP rescaled to PWT (mil. 2021 US$ PPP),numeric,,False
pop_pwt,Population rescaled to PWT; national sum per year equals PWT pop exactly.,Population rescaled to PWT (millions),numeric,,False
gdppc,"gdp_pwt / pop_pwt, 2021 US$/person; 0 for censored cells, missing if zero population.",GDP per capita (2021 US$ PPP),numeric,,True
ln_gdppc,Natural log of gdppc; missing where gdppc <= 0 (censored / zero-pop).,Log GDP per capita,numeric,outcome,True
gcp_pwt_q05,GCP 5th pct rescaled to PWT. Cell-level; do NOT sum across cells.,Cell GDP 5th pct rescaled (mil. 2021 US$),numeric,,False
gcp_pwt_q95,GCP 95th pct rescaled to PWT. Cell-level; do NOT sum across cells.,Cell GDP 95th pct rescaled (mil. 2021 US$),numeric,,False
gcp_pwt_tree_sd,Across-tree SD of GCP rescaled to PWT. Cell-level; not additive.,Cell GDP across-tree SD rescaled (mil. 2021 US$),numeric,,False
national_population,National population from the source dataset.,National population,numeric,,False
country,Country name (GADM COUNTRY / NAME_0).,Country,factor,,False
gid_1,GADM admin1 code (GID_1) of the region containing the cell.,Admin1 code,factor,,False
name_1,GADM admin1 name (NAME_1).,Admin1 name,factor,,False
engtype_1,GADM admin1 type (ENGTYPE_1; e.g. Department).,Admin1 type,factor,,False
adm1_assign,How the cell was assigned to its admin1: 'within' (centroid in polygon) or 'nearest' (snapped fallback).,Admin1 assignment,factor,,False
gid_2,GADM admin2 code (GID_2) of the region containing the cell.,Admin2 code,factor,,False
name_2,GADM admin2 name (NAME_2).,Admin2 name,factor,,False
engtype_2,GADM admin2 type (ENGTYPE_2; e.g. Province).,Admin2 type,factor,,False
adm2_assign,How the cell was assigned to its admin2: 'within' or 'nearest' (snapped fallback).,Admin2 assignment,factor,,False
